20
450 170 Pt00
370 160 Pt01
390 250 Pt02
370 330 Pt03
420 350 Pt04
320 380 Pt05
465 320 Pt06
310 290 Pt07
290 340 Pt08
130 390 Pt09
170 310 Pt10
120 330 Pt11
200 220 Pt12
100 250 Pt13
130 120 Pt14
75 60 Pt15
50 160 Pt16
190 50 Pt17
270 105 Pt18
380 220 Pt19
28
Pt15 Pt17
Pt15 Pt14
Pt14 Pt17
Pt16 Pt14
Pt13 Pt14
Pt12 Pt14
Pt18 Pt14
Pt13 Pt16
Pt13 Pt12
Pt12 Pt18
Pt11 Pt12
Pt10 Pt12
Pt09 Pt11
Pt10 Pt11
Pt10 Pt08
Pt09 Pt08
Pt07 Pt08
Pt07 Pt18
Pt07 Pt02
Pt01 Pt07
Pt02 Pt01
Pt02 Pt00
Pt02 Pt03
Pt00 Pt01
Pt00 Pt19
Pt03 Pt05
Pt03 Pt04
Pt04 Pt06

Pt15 Pt06
